Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.160167,0.155785
1,0,0,0.154697,0.155785
2,0,0,0.154697,0.155785
3,0,0,0.154697,0.155785
4,0,0,0.154697,0.155785
5,0,0,0.154697,0.155785
6,0,0,0.154697,0.155785
7,0,0,0.154697,0.155785
8,0,0,0.154697,0.155785
9,0,0,0.154697,0.155785
10,0,0,0.154697,0.155785
11,0,0,0.154697,0.155785
12,0,0,0.154697,0.155785
13,0,0,0.154697,0.155785
14,0,0,0.154697,0.155785
15,0,0,0.154697,0.155785
16,0,0,0.154697,0.155785
17,0,0,0.154697,0.155785
18,0,0,0.154697,0.155785
19,0,0,0.154697,0.155785
20,0,0,0.154697,0.155785
21,0,0,0.154697,0.155785
22,0,0,0.154697,0.155785
23,0,0,0.154697,0.155785
24,0,0,0.154697,0.155785
25,0,0,0.154697,0.155785
26,0,0,0.154697,0.155785
27,0,0,0.154697,0.155785
28,0,0,0.154697,0.155785
29,0,0,0.154697,0.155785
30,0,0,0.154697,0.155785
31,0,0,0.154697,0.155785
32,0,0,0.154697,0.155785
33,0,0,0.154697,0.155785
34,0,0,0.154697,0.155785
35,0,0,0.154697,0.155785
36,0,0,0.154697,0.155785
37,0,0,0.154697,0.155785
38,0,0,0.154697,0.155785
39,0,0,0.154697,0.155785
40,0,0,0.154697,0.155785
41,0,0,0.154697,0.155785
42,0,0,0.154697,0.155785
43,0,0,0.154697,0.155785
44,0,0,0.154697,0.155785
45,0,0,0.154697,0.155785
46,0,0,0.154697,0.155785
47,0,0,0.154697,0.155785
48,0,0,0.154697,0.155785
49,0,0,0.154697,0.155785
50,0,0,0.154697,0.155785
51,0,0,0.154697,0.155785
52,0,0,0.154697,0.155785
53,0,0,0.154697,0.155785
54,0,0,0.154697,0.155785
55,0,0,0.154697,0.155785
56,0,0,0.154697,0.155785
57,0,0,0.154697,0.155785
58,0,0,0.154697,0.155785
59,0,0,0.154697,0.155785
60,0,0,0.154697,0.155785
61,0,0,0.154697,0.155785
62,0,0,0.154697,0.155785
63,0,0,0.154697,0.155785
64,0,0,0.154697,0.155785
65,0,0,0.154697,0.155785
66,0,0,0.154697,0.155785
67,0,0,0.154697,0.155785
68,0,0,0.154697,0.155785
69,0,0,0.154697,0.155785
70,0,0,0.154697,0.155785
71,0,0,0.154697,0.155785
72,0,0,0.154697,0.155785
73,0,0,0.154697,0.155785
74,0,0,0.154697,0.155785
75,0,0,0.154697,0.155785
76,0,0,0.154697,0.155785
77,0,0,0.154697,0.155785
78,0,0,0.154697,0.155785
79,0,0,0.154697,0.155785
80,0,0,0.154697,0.155785
81,0,0,0.154697,0.155785
82,0,0,0.154697,0.155785
83,0,0,0.154697,0.155785
84,0,0,0.154697,0.155785
85,0,0,0.154697,0.155785
86,0,0,0.154697,0.155785
87,0,0,0.154697,0.155785
88,0,0,0.154697,0.155785
89,0,0,0.154697,0.155785
90,0,0,0.154697,0.155785
91,0,0,0.154697,0.155785
92,0,0,0.154697,0.155785
93,0,0,0.154697,0.155785
94,0,0,0.154697,0.155785
95,0,0,0.154697,0.155785
96,0,0,0.154697,0.155785
97,0,0,0.154697,0.155785
98,0,0,0.154697,0.155785
99,0,0,0.154697,0.155785
100,0,0,0.154697,0.155785
101,0,0,0.154697,0.155785
102,0,0,0.154697,0.155785
103,0,0,0.154697,0.155785
104,0,0,0.154697,0.155785
105,0,0,0.154697,0.155785
106,0,0,0.154697,0.155785
107,0,0,0.154697,0.155785
108,0,0,0.154697,0.155785
109,0,0,0.154697,0.155785
110,0,0,0.154697,0.155785
111,0,0,0.154697,0.155785
112,0,0,0.154697,0.155785
113,0,0,0.154697,0.155785
114,0,0,0.154697,0.155785
115,0,0,0.154697,0.155785
116,0,0,0.154697,0.155785
117,0,0,0.154697,0.155785
118,0,0,0.154697,0.155785
119,0,0,0.154697,0.155785
120,0,0,0.154697,0.155785
121,0,0,0.154697,0.155785
122,0,0,0.154697,0.155785
123,0,0,0.154697,0.155785
124,0,0,0.154697,0.155785
125,0,0,0.154697,0.155785
126,0,0,0.154697,0.155785
127,0,0,0.154697,0.155785
128,0,0,0.154697,0.155785
129,0,0,0.154697,0.155785
130,0,0,0.154697,0.155785
131,0,0,0.154697,0.155785
132,0,0,0.154697,0.155785
133,0,0,0.154697,0.155785
134,0,0,0.154697,0.155785
135,0,0,0.154697,0.155785
136,0,0,0.154697,0.155785
137,0,0,0.154697,0.155785
138,0,0,0.154697,0.155785
139,0,0,0.154697,0.155785
140,0,0,0.154697,0.155785
141,0,0,0.154697,0.155785
142,0,0,0.154697,0.155785
143,0,0,0.154697,0.155785
144,0,0,0.154697,0.155785
145,0,0,0.154697,0.155785
146,0,0,0.154697,0.155785
147,0,0,0.154697,0.155785
148,0,0,0.154697,0.155785
149,0,0,0.154697,0.155785
150,0,0,0.154697,0.155785
151,0,0,0.154697,0.155785
152,0,0,0.154697,0.155785
153,0,0,0.154697,0.155785
154,0,0,0.154697,0.155785
155,0,0,0.154697,0.155785
156,0,0,0.154697,0.155785
157,0,0,0.154697,0.155785
158,0,0,0.154697,0.155785
159,0,0,0.154697,0.155785
160,0,0,0.154697,0.155785
161,0,0,0.154697,0.155785
162,0,0,0.154697,0.155785
163,0,0,0.154697,0.155785
164,0,0,0.154697,0.155785
165,0,0,0.154697,0.155785
166,0,0,0.154697,0.155785
167,0,0,0.154697,0.155785
168,0,0,0.154697,0.155785
169,0,0,0.154697,0.155785
170,0,0,0.154697,0.155785
171,0,0,0.154697,0.155785
172,0,0,0.154697,0.155785
173,0,0,0.154697,0.155785
174,0,0,0.154697,0.155785
175,0,0,0.154697,0.155785
176,0,0,0.154697,0.155785
177,0,0,0.154697,0.155785
178,0,0,0.154697,0.155785
179,0,0,0.154697,0.155785
180,0,0,0.154697,0.155785
181,0,0,0.154697,0.155785
182,0,0,0.154697,0.155785
183,0,0,0.154697,0.155785
184,0,0,0.154697,0.155785
185,0,0,0.154697,0.155785
186,0,0,0.154697,0.155785
187,0,0,0.154697,0.155785
188,0,0,0.154697,0.155785
189,0,0,0.154697,0.155785
190,0,0,0.154697,0.155785
191,0,0,0.154697,0.155785
192,0,0,0.154697,0.155785
193,0,0,0.154697,0.155785
194,0,0,0.154697,0.155785
195,0,0,0.154697,0.155785
196,0,0,0.154697,0.155785
197,0,0,0.154697,0.155785
198,0,0,0.154697,0.155785
199,0,0,0.154697,0.155785
200,0,0,0.154697,0.155785
201,0,0,0.154697,0.155785
202,0,0,0.154697,0.155785
203,0,0,0.154697,0.155785
204,0,0,0.154697,0.155785
205,0,0,0.154697,0.155785
206,0,0,0.154697,0.155785
207,0,0,0.154697,0.155785
208,0,0,0.154697,0.155785
209,0,0,0.154697,0.155785
210,0,0,0.154697,0.155785
211,0,0,0.154697,0.155785
212,0,0,0.154697,0.155785
213,0,0,0.154697,0.155785
214,0,0,0.154697,0.155785
215,0,0,0.154697,0.155785
216,0,0,0.154697,0.155785
217,0,0,0.154697,0.155785
218,0,0,0.154697,0.155785
219,0,0,0.154697,0.155785
220,0,0,0.154697,0.155785
221,0,0,0.154697,0.155785
222,0,0,0.154697,0.155785
223,0,0,0.154697,0.155785
224,0,0,0.154697,0.155785
225,0,0,0.154697,0.155785
226,0,0,0.154697,0.155785
227,0,0,0.154697,0.155785
228,0,0,0.154697,0.155785
229,0,0,0.154697,0.155785
230,0,0,0.154697,0.155785
231,0,0,0.154697,0.155785
232,0,0,0.154697,0.155785
233,0,0,0.154697,0.155785
